CY,patient_zip,Cases,,
2020,62035,14,,
2021,62035,11,,
2020,62036,*,,
2020,62037,*,,
2021,62037,*,,
2020,62040,99,,
2021,62040,110,,
2021,62046,*,,
2020,62047,*,,
2021,62047,*,,
2020,62048,*,,
2021,62048,*,,
2020,62049,*,,
2021,62049,*,,
2021,62051,*,,
2020,62052,25,,
2021,62052,16,,
2020,62053,*,,
2021,62053,*,,
2020,62054,*,,
2020,62056,10,,
2021,62056,*,,
2020,62058,*,,
2021,62058,*,,
2021,62059,*,,
2020,62060,*,,
2021,62060,*,,
2020,62062,10,,
2021,62062,*,,
2020,62063,*,,
2021,62063,*,,
2020,62067,*,,
2021,62067,*,,
2020,62069,*,,
2021,62069,*,,
2020,62074,*,,
2021,62074,*,,
2020,62075,*,,
2020,62080,*,,
2021,62080,*,,
2020,62082,*,,
2021,62082,*,,
2020,62084,*,,
2021,62084,*,,
2020,62086,*,,
2020,62087,*,,
2021,62087,*,,
2020,62088,11,,
2021,62088,*,,
2020,62089,*,,
2021,62089,*,,
2021,62090,*,,
2020,62091,*,,
2020,62092,*,,
2021,62092,*,,
2020,62093,*,,
2020,62094,*,,
2021,62094,*,,
2020,62095,33,,
2021,62095,27,,
2020,62097,*,,
2021,62097,*,,
2021,62098,*,,
2020,62201,*,,
2021,62201,*,,
2020,62203,10,,
2021,62203,11,,
2020,62204,15,,
2021,62204,*,,
2020,62205,*,,
2021,62205,13,,
2020,62206,31,,
2021,62206,23,,
2020,62207,25,,
2021,62207,12,,
2020,62208,23,,
2021,62208,15,,
2020,62214,*,,
2020,62215,*,,
2021,62215,*,,
2020,62216,*,,
2021,62216,*,,
2021,62217,*,,
2020,62219,*,,
2020,62220,30,,
2021,62220,25,,
2020,62221,34,,
2021,62221,27,,
2020,62222,*,,
2020,62223,25,,
2021,62223,15,,
2020,62225,*,,
2021,62225,*,,
2020,62226,36,,
2021,62226,30,,
2020,62230,*,,
2021,62230,*,,
2020,62231,*,,
2021,62231,*,,
2020,62232,15,,
2021,62232,29,,
2020,62233,*,,
2021,62233,*,,
2020,62234,51,,
2021,62234,29,,
2020,62236,*,,
2021,62236,*,,
2021,62237,*,,
2020,62238,*,,
2020,62239,13,,
2021,62239,10,,
2020,62240,*,,
2021,62240,*,,
2020,62243,*,,
2021,62243,*,,
2020,62245,*,,
2020,62246,*,,
2021,62246,*,,
2020,62249,*,,
2021,62249,13,,
2021,62253,*,,
2020,62254,10,,
2021,62254,*,,
2020,62255,*,,
2021,62255,*,,
2020,62257,*,,
2021,62257,*,,
2020,62258,*,,
2021,62258,*,,
2020,62260,*,,
2021,62260,*,,
2021,62262,*,,
2020,62263,*,,
2021,62263,*,,
2020,62264,*,,
2020,62265,*,,
2021,62265,*,,
2020,62269,45,,
2021,62269,27,,
2020,62271,*,,
2021,62271,*,,
2020,62272,*,,
2021,62272,*,,
2020,62274,*,,
2021,62274,*,,
2020,62275,*,,
2021,62275,*,,
2020,62277,*,,
2021,62278,*,,
2020,62285,*,,
2021,62285,*,,
2020,62286,*,,
2021,62286,*,,
2020,62288,*,,
2021,62288,*,,
2021,62292,*,,
2020,62293,*,,
2021,62293,*,,
2020,62294,11,,
2021,62294,*,,
2020,62297,*,,
2020,62298,10,,
2021,62298,*,,
2020,62301,32,,
2021,62301,28,,
2020,62305,*,,
2021,62305,*,,
2021,62306,*,,
2021,62311,*,,
2020,62314,*,,
2021,62314,*,,
2021,62316,*,,
2020,62320,*,,
2020,62324,*,,
2021,62324,*,,
2020,62326,*,,
2021,62326,*,,
2021,62334,*,,
2020,62340,*,,
2020,62341,*,,
2020,62349,*,,
2020,62353,*,,
2021,62353,*,,
2021,62355,*,,
2020,62360,*,,
2021,62360,*,,
2020,62362,*,,
2020,62363,*,,
2021,62363,*,,
2021,62370,*,,
2021,62378,*,,
2020,62379,*,,
2021,62379,*,,
2020,62401,*,,
2021,62401,11,,
2020,62411,*,,
2021,62411,*,,
2020,62414,*,,
2021,62414,*,,
2020,62417,*,,
2020,62418,*,,
2021,62418,*,,
2020,62420,*,,
2021,62420,*,,
2020,62421,*,,
